,Old Zip,Zip Code,Nearest Zip Distance
6558,01003,01035,3.24148654282565
86373,03575,03593,5.16223089324873
101900,04469,04473,3.6945740594882204
104883,04662,04679,2.2079623103781802
109025,05031,05067,4.37814726535091
110393,05059,05001,3.35961563182369
114421,05405,05401,0.736858668870963
132447,06269,06268,2.3408294814035497
135860,06389,06360,2.34116222363365
319092,10119,10001,0.22077672674292498
320112,10152,10022,0.21418638839895002
420066,11371,11369,0.759090470743793
442552,11556,11553,0.9911038325379209
446092,11569,11561,3.45658334448183
466022,11931,11901,1.85748822713808
466690,11947,11948,1.30533266659192
467690,11964,11944,4.3095515392421
480568,12222,12203,1.24091126787621
485193,12453,12477,2.65816998212271
488911,12504,12583,2.99542059827673
496853,12749,12783,3.0215103373578702
511207,13290,13204,1.28575429225838
646671,17507,17581,3.13457136097543
674293,18349,18370,1.5319042815312702
674977,18357,18325,2.00988301686679
708183,19112,19148,1.77793058579723
746326,20052,20006,0.31499896885033696
757382,20560,20004,0.48243942244543503
760485,20629,20688,0.99107566862531
762916,20701,20794,1.85770653924188
767305,20742,20740,1.1769682046426102
783757,21031,21030,0.947158438847896
791146,21153,21208,2.7857012545973303
796463,21240,21077,1.87958524387732
796756,21250,21227,2.01254761109653
797026,21252,21204,1.4328652038451102
808361,21913,21912,2.8097650237755096
832782,23173,23226,0.7619498498229308
886725,25876,25882,3.05130306928271
927904,28757,28711,3.2134147246550095
931242,29202,29201,0.7829632897547271
936369,29613,29617,1.8115251503540901
936814,29634,29631,1.1190547743843797
946473,30118,30117,1.78303198189382
952446,30322,30306,1.5674823612509998
953298,30334,30303,0.34195417049959004
957543,30602,30606,3.0209810758770095
960634,30912,30904,1.59247112338803
963218,31409,31405,2.59755609074994
976637,32830,32836,3.6980786940093195
997835,33620,33617,2.1918644352874197
1004236,33924,33922,3.2215099987029303
1030752,36849,36830,4.39771214584524
1035470,37213,37201,0.533762646210189
1036033,37243,37219,0.13733213450333803
1036744,37326,37317,3.34343555270027
1049271,38365,38326,3.0583177852648102
1107133,43403,43402,2.4136815597153
1185321,46556,46616,0.993387510617776
1205566,47907,47901,1.4344859422884
1226372,48242,48174,2.23097681816555
1226488,48243,48226,0.560434044692557
1301124,53792,53726,0.6750424884767121
1302408,53935,53923,3.76182871675914
1305611,54211,54234,3.49418178246405
1318316,55111,55120,2.18171176134832
1320907,55155,55101,0.500344365122461
1332855,55450,55417,1.7539729255824301
1341766,56313,56353,3.9200614860498195
1353351,58405,58401,3.82273875398159
1356374,59716,59729,17.475309672666
1411654,61112,61108,1.7406574348378403
1472503,64101,64105,0.557424464285243
1472632,64102,64105,1.04970214994854
1493718,66031,66030,2.94065463893072
1494106,66045,66046,4.27258586283101
1536179,70801,70802,0.610180948254264
1562203,73705,73773,5.10787328051572
1656378,80443,80424,10.5467749865573
1657141,80477,80487,3.9251489742696397
1657147,80478,80446,11.3830043013626
1657201,80482,80422,13.7173887325472
1661776,81225,81224,6.004114382610849
1661794,81227,81236,8.88507093429085
1662002,81330,81321,14.963289590213801
1662116,81427,81432,9.307802488678199
1662158,81433,81435,19.955207123159802
1662273,81522,81422,21.7171443415493
1662354,81615,81654,6.32282603599498
1662362,81620,81632,5.52553571021135
1662404,81631,81632,7.57793764031181
1663985,83353,83333,8.59480912378887
1665714,83825,83852,4.8642573957413395
1666826,84024,84050,12.011203542356201
1671598,84719,84721,16.1409924211589
1671996,84767,84779,10.0778565726968
1682289,85377,85331,3.84832537800793
1684844,86028,86025,21.640396777567602
1684878,86040,86036,22.238414181722103
1687099,87525,87718,9.391542756967882
1689601,89018,89166,11.857380130014901
1693164,89440,89706,5.58743125027424
1693238,89446,89445,20.727074227961303
1693244,89448,89413,5.326891575199389
1693276,89449,89460,7.36616304985935
1709787,90071,90017,0.538078438731656
1710785,90089,90007,0.5504626532845821
1711578,90095,90024,0.6104886741249
1717313,90263,91302,6.1948730786855695
1723737,90506,90504,1.2059184639675
1733175,90747,90746,0.263257053323504
1745822,91330,91325,0.8455145592512869
1753203,91608,91602,1.2928583199511599
1765110,92067,92091,3.09950413959783
1767789,92132,92101,0.72829099836183
1767920,92135,92118,0.9877300382493509
1770309,92352,92404,6.54305787436652
1773089,92549,92230,9.82793910742317
1787607,93067,93108,2.24403975268824
1787979,93234,93239,11.4084007013976
1788846,93424,93449,4.50982816585822
1788977,93440,93427,7.05820403656307
1790167,93623,93644,8.11629550419762
1791823,93921,93953,2.51037182028607
1791915,93928,93927,16.54412939451
1798322,94128,94030,2.0940150044179897
1810227,94613,94601,1.9923066918713896
1812082,94720,94704,0.532261597654347
1815545,94970,94930,2.62642301443119
1815811,95002,94089,1.82830309597866
1817558,95053,95050,0.826878912650351
1825715,95497,95445,6.18610061253396
1828186,95646,96120,10.7703830938151
1830675,95714,95713,6.443112857258461
1830705,95715,95959,13.9675933402179
1830863,95728,96161,10.2508626632823
1830884,95735,96150,7.889180922982991
1834002,95936,96103,15.835946428211
1836027,96143,89451,4.7921123637774805
1836060,96145,96146,4.96516819362454
1836116,96148,89451,6.77569788443763
1836785,96755,96727,11.635941255668499
1836889,96763,96761,20.693279178607
1840995,97110,97131,13.1627951384446
1841784,97134,97107,8.08698973240625
1841994,97144,97109,5.750308888624249
1842014,97145,97131,10.1998633386076
1845467,97331,97330,5.8524205154241
1845547,97342,97759,16.5488558972031
1847724,97604,97447,13.915135223024599
1847750,97626,97601,15.6556844951268
1847874,97761,97741,16.1004663163612
1852922,98068,98045,11.2605401061304
1856740,98154,98164,0.0839225325650967
1859931,98280,98245,1.98088882539497
1860022,98288,98826,21.9214639798828
1862460,98357,98381,8.46972784423947
1865369,98421,98402,1.9594495944358101
1867791,98562,98535,9.591626689205519
1869126,98644,98624,3.42678614086098
1870470,98833,98862,18.7310108130556
1872425,99164,99163,3.11080140162969
